station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,2,1,31,1689968830
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,4,11,11,1689969399
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,4,3,13,1689969285
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,25,4,1,1689969380
17486274358,Jean Rostand - Paul Vaillant Couturier,48.908168131015,2.4530601033354,0,30002,0,0,0,1680089757
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,2,2,21,1689969385
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,2,3,53,1689969404
2515829865,Basilique,48.93626891059109,2.3588666820200914,22,32017,8,3,8,1689969183
516709288,Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,20,11104,1,2,17,1689969319
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,1,0,11,1689969049
66491398,Le Brun - Gobelins,48.835092787824,2.3534681351338,48,13007,8,3,37,1689969413
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,6,0,15,1689969149
17278902806,Rouget de L'isle - Watteau,48.778192750803,2.3963020229163,0,44015,0,0,0,1675935337
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,5,8,8,1689969174
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,2,2,12,1689969365
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,4,11,14,1689969290
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,2,1,23,1689969389
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,11,6,31,1689969232
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,3,1,14,1689969408
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,7,1,17,1689969338
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,0,7,15,1689969343
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,1,11,47,1689969367
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,30,15202,0,1,29,1689968890
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,3,2,51,1689969132
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,6,1,22,1689969407
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,0,1,35,1689969227
54000559,Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,40,17026,0,1,37,1689969327
210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,0,12,5,1689969351
82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,20,13,9,1689969196
213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,3,1,48,1689968957
128986726,Boétie - Ponthieu,48.871417284355,2.3076787590981,33,8050,1,2,28,1689968927
54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,6,3,25,1689969015
13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,0,2,19,1689969373
653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,1,1,35,1689969360
27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,2,2,26,1689969076
907054879,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,20,47007,15,4,1,1689969360
123095125,Alibert - Jemmapes,48.871044051984,2.3661044619878,60,10013,19,13,23,1689969360
129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,11,8,21,1689969297
54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,19,11,11,1689969061
80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,0,1,31,1689969229
17486876370,Moulin de Pierre - Abbé Grégoire,48.822036188382,2.2754641655975,20,21326,0,2,18,1689969226
599135701,Ramponeau - Belleville,48.871031137596,2.379056852114,44,20143,7,14,22,1689969385
102747146,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,43002,3,5,16,1689969253
2515403527,Saint-Cloud - Hippodrome,48.85772148887421,2.2549109905958176,30,16138,9,4,17,1689969368
653132534,Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,25,21216,1,5,19,1689968949
