station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,2,1,31,1660912178
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,1,24,5,1660912360
516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,0,2,17,1660911973
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,3,3,15,1660912377
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,16,3,10,1660912349
100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,36,0,8,1660912279
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,16,10,33,1660912408
123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,11,10,37,1660912226
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,4,4,3,1660912126
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,1,2,22,1660912394
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,10,6,5,1660912384
66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,8,4,33,1660912264
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,3,1,18,1660912192
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,6,4,6,1660912407
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,3,5,23,1660912365
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,14,2,9,1660912295
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,6,8,32,1660912386
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,15,3,1,1660912318
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,21,4,0,1660912255
