station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,0,2,33,1697997804
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,4,8,17,1697997908
17278902806,Rouget de L'isle - Watteau,48.778192750803,2.3963020229163,20,44015,1,12,7,1697998052
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,3,2,16,1697997787
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,10,2,18,1697997920
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,1,4,20,1697998037
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,2,4,52,1697998044
2515829865,Basilique,48.93626891059109,2.3588666820200914,22,32017,5,3,14,1697997784
516709288,Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,20,11104,2,1,17,1697997666
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,5,0,7,1697997572
66491398,Le Brun - Gobelins,48.835092787824,2.3534681351338,48,13007,11,7,30,1697997955
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,10,2,9,1697997992
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,9,5,7,1697997817
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,5,1,9,1697997899
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,5,3,22,1697997856
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,9,3,15,1697997640
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,3,0,46,1697997857
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,1,1,18,1697997826
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,3,1,20,1697998000
501862076,Place Nelson Mandela,48.862453313908,2.1961666225454,22,25006,0,3,19,1697997980
17486274358,Jean Rostand - Paul Vaillant Couturier,48.908168131015,2.4530601033354,40,30002,5,6,29,1697998032
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,2,1,59,1697997964
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,30,15202,1,1,28,1697997931
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,3,2,55,1697997992
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,10,5,18,1697998045
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,4,5,25,1697998016
54000559,Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,40,17026,4,4,29,1697997747
210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,6,8,3,1697997985
82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,26,8,4,1697997872
213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,1,4,47,1697997865
128986726,Boétie - Ponthieu,48.871417284355,2.3076787590981,33,8050,2,2,28,1697997918
54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,2,1,30,1697997961
13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,0,2,19,1697997727
653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,0,3,34,1697997738
27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,18,2,13,1697997986
52393,Grands Moulins de Pantin,48.89738369720229,2.3959985375404362,50,19044,18,21,9,1697997815
123095125,Alibert - Jemmapes,48.871044051984,2.3661044619878,60,10013,3,2,55,1697998044
129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,2,0,36,1697998029
54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,2,2,38,1697997729
80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,0,3,29,1697998042
17486876370,Moulin de Pierre - Abbé Grégoire,48.822036188382,2.2754641655975,20,21326,3,0,16,1697997994
