station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,4,7,24,1669968184
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,12,2,15,1669968304
516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,0,0,19,1669968297
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,1,1,19,1669968317
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,10,2,16,1669968310
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,4,2,19,1669967948
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,3,2,54,1669968084
123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,6,2,48,1669968326
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,2,5,5,1669968270
100769544,Harpe - Saint-Germain,48.851518815017,2.3436703160405,45,5001,2,1,40,1669968360
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,7,0,13,1669968184
66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,16,8,23,1669968279
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,30,15202,0,0,30,1661433064
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,0,0,21,1669968362
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,3,0,14,1669968180
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,0,10,17,1669968347
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,0,0,26,1669968301
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,6,7,35,1669968204
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,9,8,1,1669968354
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,13,3,8,1669968230
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,0,1,21,1669968333
54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,3,6,31,1669968292
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,2,3,55,1669968211
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,10,7,43,1669968349
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,4,4,24,1669968312
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,3,3,28,1669968360
437597018,Invalides - Duroc,48.847792473295,2.3161920905113,29,7001,0,0,29,1664169999
210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,0,0,16,1669968316
82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,5,3,32,1669968136
213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,0,0,50,1669968249
54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,15,10,8,1669968328
13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,0,0,21,1669968146
653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,0,0,38,1669968154
27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,13,7,12,1669968346
907054879,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,20,47007,14,4,2,1669968043
129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,2,2,32,1669968271
54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,2,8,31,1669967954
80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,1,0,30,1669968314
128986726,Boétie - Ponthieu,48.871417284354834,2.307678759098053,33,8050,15,13,2,1669968145
599135701,Ramponeau - Belleville,48.871031137596,2.379056852114,44,20143,0,0,44,1669968132
102747146,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,43002,6,10,8,1669968327
