station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,5,0,29,1664985226
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,4,8,17,1664985471
516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,1,2,15,1664985414
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,0,2,18,1664985643
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,2,2,25,1664985725
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,1,2,21,1664985631
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,8,1,50,1664985726
123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,2,3,51,1664985716
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,1,9,2,1664985694
100769544,Harpe - Saint-Germain,48.851518815017,2.3436703160405,45,5001,9,1,35,1664985687
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,11,5,5,1664985710
66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,1,3,39,1664985558
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,5,10,5,1664985560
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,0,0,17,1664985725
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,1,1,25,1664985248
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,0,3,24,1664985714
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,25,4,18,1664985702
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,8,3,9,1664985685
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,10,1,14,1664985710
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,0,3,19,1664985422
54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,2,3,33,1664985685
