station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,2,5,27,1675622268
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,16,11,2,1675622207
516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,2,4,13,1675622193
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,0,5,16,1675621833
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,10,10,10,1675622224
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,0,4,21,1675622256
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,10,3,42,1675622244
2515829865,Basilique,48.93626891059109,2.3588666820200914,22,32017,4,7,10,1675622161
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,0,0,12,1675621887
100769544,Harpe - Saint-Germain,48.851518815017,2.3436703160405,45,5001,26,2,16,1675622265
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,15,2,4,1675622261
66491398,Le Brun - Gobelins,48.835092787824,2.3534681351338,48,13007,21,11,13,1675622210
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,1,8,12,1675622209
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,1,2,13,1675622058
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,11,11,5,1675622136
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,1,4,22,1675621896
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,15,9,25,1675622252
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,5,2,13,1675622197
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,10,7,5,1675622206
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,3,8,11,1675622245
54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,1,2,37,1675622224
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,3,3,55,1675622143
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,30,15202,0,2,28,1675621643
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,2,2,55,1675622205
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,6,3,24,1675622232
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,5,6,24,1675622195
437597018,Invalides - Duroc,48.847792473295,2.3161920905113,0,7001,0,0,0,1664169999
210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,1,5,11,1675622185
82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,31,2,7,1675622262
213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,0,1,51,1675622211
128986726,Boétie - Ponthieu,48.871417284355,2.3076787590981,33,8050,5,3,24,1675622221
54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,17,0,16,1675622053
13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,0,0,21,1675622105
653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,1,2,35,1675622248
27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,11,1,21,1675622131
907054879,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,20,47007,7,9,4,1675622038
123095125,Alibert - Jemmapes,48.871044051984,2.3661044619878,60,10013,11,1,47,1675622020
129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,0,2,37,1675621875
54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,1,0,40,1675621847
