station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,13,1,18,1664512895
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,1,27,2,1664513026
516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,6,2,10,1664513088
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,0,1,20,1664513065
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,22,4,2,1664513121
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,1,1,23,1664512757
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,7,8,44,1664512669
123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,27,0,28,1664513106
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,0,0,11,1664513061
100769544,Harpe - Saint-Germain,48.851518815017,2.3436703160405,45,5001,0,2,42,1664512858
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,0,0,19,1664512903
66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,12,3,29,1664513075
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,0,1,21,1664512908
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,8,0,7,1664513039
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,10,13,6,1664513069
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,10,4,13,1664512958
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,10,6,30,1664513093
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,0,0,20,1664512690
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,10,5,9,1664513066
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,1,5,16,1664513115
54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,8,5,27,1664513058
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,0,1,48,1664512645
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,0,15202,0,0,0,1661433064
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,15,1,19,1664513085
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,3,3,52,1664513061
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,13,0,22,1664513134
437597018,Invalides - Duroc,48.847792473295,2.3161920905113,29,7001,3,0,26,1664169999
210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,1,0,16,1664512886
82405965,Froment - Bréguet,48.8570414504784,2.37289470306807,43,11025,5,1,34,1664512848
213682736,Morillons - Dantzig,48.83310149953933,2.299380004405976,52,15047,21,19,10,1664513101
54000581,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,34,13101,11,9,13,1664512818
13105968,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,21,14108,0,3,18,1664512911
653208733,Romainville - Vaillant-Couturier,48.86785,2.446748,38,31024,2,15,21,1664513093
27415224,Bir Hakeim,48.853844054333514,2.289705348222022,33,15026,13,5,15,1664513021
907054879,Liberté - Vert-de-Maisons,48.79014780960843,2.43286281824112,20,47007,5,7,7,1664513116
129094535,Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,42,17044,6,6,29,1664513109
54000612,Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,43,19033,0,1,40,1664512891
80101533,Chazelles - Courcelles ,48.879406604954,2.3034455627202988,35,17025,1,1,30,1664513017
128986726,Boétie - Ponthieu,48.871417284354834,2.307678759098053,33,8050,2,2,28,1664512949
599135701,Ramponeau - Belleville,48.871031137596,2.379056852114,44,20143,9,0,34,1664512932
102747146,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,43002,12,3,11,1664512975
2515403527,Saint-Cloud - Hippodrome,48.85772148887421,2.2549109905958176,30,16138,1,3,25,1664513095
653132534,Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,25,21216,0,4,21,1664512642
506455295,Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,16,15068,3,2,11,1664513036
1057149522,Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,22,22207,6,0,15,1664512957
210567545,Raspail - Varenne,48.85314781654488,2.3263905197381973,18,7004,0,1,17,1664513054
2515085147,Italie - Tolbiac,48.82557229464416,2.3576171323657036,21,13030,3,4,11,1664513136
653197324,Théâtre des Amandiers - Palais des sports,48.89264852683893,2.2136941552162175,24,92002,3,1,19,1664512908
210408693,Vaugirard - Monsieur le Prince,48.848951441614176,2.3411329463124275,26,6029,0,0,26,1664512701
42950839,Serrurier,48.8804934032465,2.39806417375803,18,19027,1,2,15,1664513100
14813797734,Raspail Barbès,48.8529945,2.4247387,28,31028,6,3,17,1664512997
88230992,De Toqueville - Terrasse,48.882428,2.314002,30,17048,2,4,24,1664512869
499303158,Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,30,44017,24,5,1,1664512768
27415302,Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,26,16118,7,6,13,1664513119
27414512,Caire - Dussoubs,48.86785342111862,2.349364310503006,40,2017,0,1,37,1664512874
210580039,Tour d'Auvergne - Rodier,48.879161,2.343698,17,9008,1,1,14,1664512986
49474389,Artois - Berri,48.87393521240818,2.3064258322119713,23,8103,1,3,19,1664512662
128940135,Marceau - Chaillot,48.86883394989261,2.2989967837929726,21,8048,0,2,17,1664513115
35149611,Liard - Amiral Mouchez,48.8214169,2.342167,14,14013,10,3,0,1664512833
1057296253,Regnault - Patay,48.82435782216384,2.377065159380436,63,13118,18,2,39,1664513125
210570888,Las Cases - Bourgogne,48.85909110474066,2.3185685276985173,22,7011,0,1,20,1664512660
129107656,Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,25,18111,4,4,13,1664512799
1057228658,Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,22,48003,0,1,21,1664513101
230873471,Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,21,16110,2,3,15,1664512820
507934805,Ney - Porte de Clignancourt ,48.8978867,2.3458001,25,18134,3,6,15,1664512806
205047993,Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,46,14002,3,1,42,1664513024
39799329,Faubourg Montmartre - La Fayette,48.87525454905335,2.340853661298752,35,9014,0,2,32,1664512655
129164969,Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,50,43009,18,28,4,1664513081
128989986,Place Georges Guillaumin,48.874750203956566,2.301771435325988,29,8053,0,0,28,1664512831
129004826,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,17,9001,6,1,10,1664512986
518825709,Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,21,17032,0,1,20,1664512584
