station_id,name,lat,lon,capacity,stationCode,nbMecha,nbElec,nbdocklibre,last_reported
213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,0,2,33,1679581495
653222953,Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,30,31104,1,3,25,1679581771
36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,1,0,20,1679581707
37815204,Mairie du 12ème,48.840855311763,2.3875549435616,30,12109,20,10,0,1679581815
17278902806,Rouget de L'isle - Watteau,48.778192750803,2.3963020229163,0,44015,0,0,0,1675935337
251039991,Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,25,14111,2,3,20,1679581622
85002689,Jourdan - Stade Charléty,48.819428333369,2.3433353751898,60,14014,2,2,54,1679581773
2515829865,Basilique,48.93626891059109,2.3588666820200914,22,32017,5,3,12,1679581754
516709288,Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,20,11104,0,4,15,1679581642
120827885,Messine - Place Du Pérou,48.875448033960744,2.315508019010038,12,8026,4,3,2,1679581825
100769544,Harpe - Saint-Germain,48.851518815017,2.3436703160405,45,5001,10,6,26,1679581866
37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,4,5,12,1679581809
66491398,Le Brun - Gobelins,48.835092787824,2.3534681351338,48,13007,1,0,45,1679581701
210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,7,12,2,1679581894
210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,5,1,9,1679581895
209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,0,2,26,1679581818
94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,4,5,17,1679581879
244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,6,5,35,1679581795
210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,15,3,1,1679581891
43195240,Silly - Galliéni,48.835583838706,2.2325500845909,25,21010,4,0,21,1679581849
501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,0,1,20,1679581850
207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,6,7,48,1679581900
16560752067,Bracion - Périphérique,48.826103771275,2.3004549373748,30,15202,0,2,28,1679581756
210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,24,25,11,1679581885
210565680,Vaneau - Sèvres,48.84856323305935,2.3204218259345537,35,7002,4,8,22,1679581900
85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,36,17041,6,6,24,1679581790
54000559,Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,40,17026,3,5,14,1679581841
